WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rho,PA
16115+1507,H97,7.66,3.39,0.559,2.914,24.33,1.972,2.318,3.029,0.986,1.159,1.515,0.985,1.158,1.514,H97,7.66,3.39,2.539,0.8,116
16160+0721,DR3,37.069,0.012,1.052,1.41,1.937,1.349,1.429,1.516,0.69,0.73,0.777,0.66,0.699,0.739,DR3,37.069,0.012,1.409,3.53,17
16169+0113,H97,8.61,3.85,0.164,1.858,23.067,1.79,2.034,2.631,0.902,1.023,1.33,0.888,1.011,1.301,H97,8.61,3.85,1.559,0.4,78
16216+3631,DR3,16.494,0.53,1.205,1.572,2.047,1.555,1.664,1.76,0.776,0.831,0.879,0.778,0.833,0.881,DR3,16.494,0.53,1.569,0.35,249
16224-3220,DR3,18.594,0.052,0.905,1.466,2.382,1.475,1.569,1.666,0.772,0.825,0.872,0.703,0.744,0.795,DR3,18.594,0.052,1.459,0.55,16
16289+1825,H07,50.87,0.8,1.441,1.601,1.784,1.532,1.638,1.737,0.777,0.831,0.878,0.755,0.807,0.859,DR3,51.8,0.013,1.516,2.4,119
16309+0159,dr2,20.334,0.41,4.841,5.172,5.532,3.86,4.404,5.009,2.183,2.553,2.942,1.677,1.852,2.067,dr2,20.334,0.41,5.172,1.39,42
16318-0701,H07,6.12,0.97,1.213,4.035,14.913,3.47,3.97,4.671,1.805,2.079,2.494,1.664,1.892,2.178,H07,6.12,0.97,3.831,0.56,182
16425-3705,H07,10.55,1.04,1.293,4.05,13.854,2.983,3.309,3.684,1.672,1.869,2.089,1.312,1.44,1.595,H07,10.55,1.04,3.918,0.84,247
16439+4329,H97,36.59,2.13,1.105,1.313,1.575,1.421,1.51,1.619,0.715,0.761,0.816,0.706,0.749,0.803,H97,36.59,2.13,1.313,0.55,337
16518+2840,H97,17.62,0.95,2.254,2.727,3.317,2.238,2.41,2.628,1.277,1.39,1.522,0.961,1.02,1.106,H97,17.62,0.95,2.724,1.44,105
16564+6502,tgas,15.39,0.31,1.548,3.196,7.084,2.561,2.779,3.034,1.297,1.408,1.539,1.264,1.371,1.494,tgas,15.39,0.31,3.158,0.99,66
16579+4722,H07,54.63,0.61,0.929,1.154,1.436,1.206,1.295,1.383,0.744,0.795,0.851,0.462,0.501,0.532,H07,54.63,0.61,1.152,5.09,63
16579+4722,H97,56.766,0.612,1.115,1.8,2.938,1.461,1.555,1.663,0.735,0.784,0.839,0.725,0.771,0.824,H97,56.766,0.612,1.791,112.38,262
17053+5428,3rd,36.786,0.019,1.63,2.909,5.649,2.35,2.561,2.778,1.186,1.291,1.4,1.164,1.27,1.377,3rd,36.786,0.019,2.889,2.52,2
17066+0039,H97,18.73,2.14,1.047,2.26,6.448,1.697,1.823,1.95,0.913,0.975,1.045,0.783,0.847,0.905,H97,18.73,2.14,2.18,1.03,171
17102+5430,H07,50.184,1.741,0.916,1.406,2.179,1.29,1.376,1.459,0.667,0.707,0.749,0.624,0.67,0.71,H07,50.184,1.741,1.399,22.14,133
17136+1716,H07,8.21,1.98,0.58,2.18,9.563,1.803,1.971,2.234,0.898,0.981,1.111,0.905,0.989,1.123,H07,8.21,1.98,2.0,0.48,133
17141-0824,tgas,34.32,0.35,1.32,1.569,1.853,1.296,1.38,1.466,0.775,0.828,0.875,0.521,0.551,0.591,tgas,34.32,0.35,1.568,1.48,46
17191-4638,DR3,113.738,0.071,0.213,1.747,9.644,1.359,1.439,1.535,0.824,0.871,0.925,0.535,0.568,0.61,DR3,113.738,0.071,1.613,10.42,258
17420+1557,DR3,28.467,0.047,0.798,2.389,7.832,2.052,2.213,2.401,1.344,1.463,1.601,0.708,0.75,0.8,DR3,28.467,0.047,2.351,1.47,102
17443-7213,H97,22.67,1.34,1.693,2.202,2.87,2.094,2.287,2.502,1.056,1.153,1.263,1.038,1.134,1.239,H97,22.67,1.34,2.197,0.43,76
17465+2743,3rd,119.925,0.154,0.762,0.828,0.898,0.771,0.863,0.948,0.41,0.454,0.494,0.362,0.409,0.453,3rd,119.925,0.154,0.828,0.61,299
17506+0714,H97,10.26,1.9,0.766,2.648,10.232,2.366,2.653,3.012,1.204,1.346,1.531,1.163,1.307,1.481,DR3,10.289,0.059,2.46,0.58,164
17520+1520,DR3,5.427,0.105,1.927,5.782,18.948,4.806,5.625,6.513,2.394,2.807,3.252,2.412,2.817,3.262,DR3,5.427,0.105,5.686,0.83,163
17591+3228,DR3,8.32,0.502,0.224,1.84,10.279,2.003,2.151,2.349,1.02,1.106,1.207,0.983,1.045,1.142,H07,7.46,1.18,2.349,0.23,134
18055+0230,DR3,195.676,0.155,1.602,1.609,1.617,1.507,1.595,1.687,0.843,0.891,0.943,0.664,0.703,0.744,DR3,195.676,0.155,1.609,6.41,125
18068-4325,H07,23.9,0.66,1.044,3.132,10.255,2.8,3.06,3.356,1.41,1.542,1.692,1.39,1.517,1.665,H07,23.9,0.66,3.071,1.78,1
18126-7340,H97,24.48,0.69,0.302,2.467,13.66,2.143,2.318,2.506,1.342,1.462,1.601,0.801,0.856,0.905,H97,24.48,0.69,2.278,2.1,271
18126+3836,H07,6.85,0.93,0.967,3.148,11.206,2.575,2.858,3.199,1.351,1.503,1.687,1.224,1.355,1.512,H07,6.85,0.93,3.0,0.76,319
18146+0011,H97,11.45,1.97,0.687,2.342,8.833,2.234,2.503,2.814,1.153,1.292,1.454,1.081,1.211,1.36,H97,11.45,1.97,2.197,1.37,93
18191-3509,DR3,32.396,0.047,0.521,1.56,5.097,1.427,1.516,1.618,0.737,0.785,0.84,0.69,0.73,0.778,DR3,32.396,0.047,1.535,0.94,295
18229+1458,H07,12.61,1.04,1.059,2.196,4.181,1.928,2.058,2.234,0.991,1.06,1.162,0.938,0.998,1.073,H07,12.61,1.04,2.182,0.32,126
18428+5938,DR3,283.839,0.017,0.239,0.715,2.339,0.623,0.711,0.798,0.342,0.394,0.438,0.281,0.318,0.36,DR3,283.839,0.017,0.702,11.56,180
18443+3940,H07,20.09,0.78,1.016,3.066,10.092,3.164,3.496,3.862,1.768,1.969,2.185,1.396,1.527,1.677,H07,20.09,0.78,3.005,2.28,346
18570+3254,DR3,67.141,0.118,1.447,1.603,1.783,1.69,1.79,1.933,0.989,1.05,1.142,0.7,0.741,0.79,DR3,67.141,0.118,1.603,1.28,241
19043-2132,DR3,19.434,0.021,0.829,2.17,5.626,2.004,2.144,2.329,1.019,1.1,1.193,0.985,1.043,1.135,DR3,19.434,0.021,2.133,1.28,185
19064-3704,H97,55.89,1.94,2.302,2.551,2.836,2.265,2.465,2.681,1.139,1.241,1.348,1.126,1.225,1.332,H97,55.89,1.94,2.551,1.4,345
19071+7204,DR3,4.395,0.127,4.525,5.104,5.765,4.277,4.892,5.715,2.221,2.611,3.019,2.057,2.281,2.696,DR3,4.395,0.127,5.1,0.68,6
19072+2053,H07,115.864,1.619,0.108,0.881,4.841,0.682,0.785,0.875,0.341,0.393,0.438,0.34,0.392,0.437,H07,115.864,1.619,0.813,114.05,290
19126+1651,DR3,5.096,0.141,1.251,3.76,12.363,4.305,4.91,5.636,2.419,2.822,3.27,1.886,2.089,2.367,H07,4.12,0.84,6.98,0.63,136
19169+6312,DR3,12.695,0.014,1.025,3.079,10.04,2.474,2.692,2.932,1.335,1.452,1.587,1.139,1.24,1.345,DR3,12.695,0.014,3.025,1.87,328
19266+2719,DR3,16.313,0.013,1.652,2.564,4.375,2.03,2.187,2.377,1.032,1.124,1.221,0.998,1.063,1.155,DR3,16.313,0.013,2.556,2.2,289
19282-1209,DR3,26.715,0.042,1.82,1.878,1.937,1.728,1.831,1.938,0.872,0.926,0.98,0.856,0.906,0.958,DR3,26.715,0.042,1.878,1.09,289
19316+1747,H07,19.96,1.04,0.525,1.722,6.996,1.58,1.682,1.791,0.94,0.997,1.065,0.641,0.685,0.726,H07,19.96,1.04,1.718,1.8,119
19330+0546,DR3,7.588,0.025,0.37,2.71,16.576,2.33,2.532,2.758,1.292,1.402,1.531,1.038,1.13,1.227,DR3,7.588,0.025,2.682,1.03,305
19418+5032,DR3,47.327,0.013,0.769,2.3,7.534,1.977,2.101,2.282,1.007,1.078,1.169,0.97,1.023,1.113,DR3,47.327,0.013,2.261,39.76,133
19429+4043,DR3,4.951,0.041,2.874,4.659,7.584,4.108,4.703,5.338,2.388,2.801,3.243,1.72,1.902,2.094,DR3,4.951,0.041,4.636,0.8,15
19464+3344,DR3,47.641,0.012,1.427,1.524,1.626,1.433,1.52,1.625,0.723,0.768,0.821,0.71,0.752,0.803,DR3,47.641,0.012,1.524,3.06,157
19458+2710,DR3,93.877,0.022,0.068,0.554,3.059,0.426,0.487,0.559,0.231,0.265,0.306,0.195,0.222,0.252,DR3,93.877,0.022,0.51,2.27,60
19496-5525,H97,16.1,2.06,0.589,1.907,6.734,1.683,1.811,1.937,0.895,0.958,1.023,0.788,0.853,0.913,H97,16.1,2.06,1.826,1.21,132
19520-1021,H07,11.5,1.03,0.361,2.975,16.965,2.429,2.665,2.93,1.275,1.394,1.539,1.155,1.271,1.391,H07,11.5,1.03,2.725,0.6,212
19580+0456,DR3,8.016,0.046,2.251,2.745,3.331,2.247,2.441,2.651,1.114,1.211,1.314,1.132,1.23,1.337,DR3,8.016,0.046,2.744,0.59,343
19585+3317,H97,14.19,1.21,0.713,2.201,7.457,2.216,2.434,2.671,1.17,1.287,1.408,1.046,1.147,1.263,H97,14.19,1.21,2.136,0.69,145
20012-3835,H07,14.6,0.97,0.249,2.065,11.606,2.008,2.163,2.34,1.082,1.179,1.292,0.927,0.984,1.048,H07,14.6,0.97,1.898,1.24,32
20182+2912,H97,28.04,2.25,0.18,1.487,8.407,1.445,1.546,1.65,0.76,0.817,0.87,0.685,0.729,0.78,H97,28.04,2.25,1.366,1.21,96
20210+4437,H97,20.44,1.87,1.153,1.541,2.102,1.543,1.65,1.771,0.813,0.868,0.927,0.73,0.783,0.844,H97,20.44,1.87,1.538,0.81,25
20213+0250,DR3,19.575,0.027,1.28,1.56,1.892,1.567,1.672,1.771,0.804,0.857,0.906,0.763,0.815,0.865,DR3,19.575,0.027,1.559,1.19,42
20269-3724,DR3,25.456,0.04,1.945,2.087,2.242,2.134,2.291,2.457,1.216,1.32,1.434,0.918,0.971,1.023,DR3,25.456,0.04,2.086,1.57,125
20289-1749,dr2,33.662,0.121,1.918,2.887,4.233,2.4,2.588,2.828,1.42,1.553,1.701,0.979,1.035,1.127,dr2,33.662,0.121,2.881,1.64,190
20290+0710,H07,12.8,1.64,1.143,1.727,2.714,1.808,1.938,2.093,0.927,0.993,1.078,0.881,0.945,1.014,H07,12.8,1.64,1.722,0.48,89
20329+1357,DR3,16.234,0.193,1.206,1.3,1.4,1.463,1.558,1.666,0.744,0.795,0.851,0.719,0.763,0.816,DR3,16.234,0.193,1.299,0.5,139
20452-3120,DR3,101.348,0.053,0.115,0.934,5.143,0.81,0.899,0.982,0.407,0.451,0.492,0.403,0.448,0.49,DR3,101.348,0.053,0.86,2.1,145
20450+1244,DR3,10.86,0.061,0.777,2.327,7.612,2.138,2.324,2.536,1.071,1.164,1.27,1.067,1.16,1.266,DR3,10.86,0.061,2.287,0.67,354
20467+1607,H97,32.049,1.063,1.04,3.133,10.29,3.158,3.487,3.847,1.763,1.961,2.173,1.396,1.526,1.674,H97,32.049,1.063,3.072,8.93,266
20474+3629,dr2,4.989,0.342,3.59,11.284,44.014,8.623,9.789,11.636,5.402,6.211,7.346,3.221,3.646,4.29,dr2,4.989,0.342,11.15,0.93,2
20494+1124,DR3,27.208,0.154,1.097,1.338,1.624,1.369,1.449,1.54,0.692,0.733,0.78,0.677,0.716,0.76,DR3,27.208,0.154,1.338,0.6,312
20511+5125,DR3,8.134,0.064,0.577,3.125,16.473,3.059,3.356,3.71,1.647,1.812,2.018,1.412,1.544,1.691,DR3,8.134,0.064,3.124,0.73,39
20519+0544,DR3,10.327,0.062,0.288,2.349,12.983,2.094,2.279,2.48,1.044,1.137,1.236,1.05,1.142,1.244,DR3,10.327,0.062,2.176,0.66,319
20548+3242,DR3,15.958,0.032,0.633,2.251,8.479,2.047,2.223,2.416,1.023,1.115,1.211,1.023,1.109,1.205,DR3,15.958,0.032,2.215,0.97,284
20593+1534,3rd,2.371,0.021,4.503,4.629,4.758,4.775,5.421,6.201,2.735,3.162,3.538,2.04,2.259,2.662,3rd,2.371,0.021,4.628,0.53,303
21072-1355,DR3,57.548,0.017,0.156,1.284,7.071,1.335,1.421,1.511,0.802,0.856,0.905,0.533,0.565,0.606,H97,56.67,1.18,1.241,3.66,185
21200+5259,DR3,12.143,0.015,0.397,3.241,17.881,2.564,2.781,3.034,1.299,1.409,1.54,1.266,1.372,1.494,DR3,12.143,0.015,2.979,6.85,114
21243+0343,H97,9.21,3.23,0.928,2.292,8.302,1.853,2.076,2.552,0.941,1.056,1.305,0.912,1.02,1.247,H97,9.21,3.23,2.295,0.3,217
21441+2845,DR3,45.156,0.122,1.552,2.295,3.406,2.286,2.455,2.679,1.3,1.411,1.543,0.986,1.044,1.136,DR3,45.156,0.122,2.288,1.65,319
21555+1053,H07,20.93,1.21,1.559,1.869,2.259,1.814,1.928,2.057,0.944,1.002,1.075,0.87,0.926,0.983,H07,20.93,1.21,1.868,1.06,25
22038+6438,H07,33.79,1.06,0.666,3.405,16.909,2.624,2.877,3.17,1.587,1.747,1.94,1.037,1.13,1.229,H07,33.79,1.06,3.368,8.05,275
22070+3605,H07,5.46,0.82,2.003,3.462,6.273,2.94,3.305,3.761,1.686,1.916,2.2,1.254,1.39,1.561,H07,5.46,0.82,3.402,1.06,316
22107+0755,H07,26.3,3.91,0.167,1.438,8.661,1.096,1.193,1.314,0.555,0.606,0.667,0.541,0.588,0.647,H97,26.63,8.18,1.254,0.89,5
22180-6249,DR3,9.022,0.097,0.618,2.195,9.028,2.291,2.489,2.725,1.559,1.709,1.891,0.732,0.78,0.835,DR3,9.022,0.097,2.184,1.62,197
22234+3228,DR3,65.487,0.044,0.117,0.949,5.222,0.845,0.932,1.007,0.424,0.468,0.505,0.42,0.464,0.502,DR3,65.487,0.044,0.876,1.25,254
22266-1645,dr2,51.508,0.13,0.685,2.052,6.734,1.868,1.978,2.099,0.942,0.997,1.062,0.927,0.981,1.037,dr2,51.508,0.13,2.017,1.2,69
22281+1215,H97,15.87,1.28,0.296,2.438,13.757,2.119,2.29,2.487,1.276,1.394,1.534,0.844,0.896,0.953,H97,15.87,1.28,2.233,0.97,182
22288-0001,H07,35.5,1.26,2.129,3.989,8.412,3.104,3.413,3.78,1.59,1.75,1.945,1.514,1.662,1.834,H07,35.5,1.26,3.943,2.31,163
22384-6523,H07,75.87,5.83,0.095,0.782,4.421,0.64,0.739,0.839,0.318,0.366,0.417,0.321,0.373,0.422,H07,75.87,5.83,0.718,0.48,103
22400+0113,DR3,11.638,0.028,0.724,2.172,7.117,2.074,2.227,2.402,1.126,1.224,1.33,0.948,1.004,1.072,DR3,11.638,0.028,2.133,0.82,165
22406+0632,H97,5.26,3.83,0.378,2.731,47.215,2.045,2.588,3.963,1.023,1.297,1.986,1.022,1.292,1.977,H97,5.26,3.83,2.839,0.51,337
22504-1744,oth,14.941,2.988,0.916,1.614,3.19,1.376,1.495,1.655,0.699,0.76,0.843,0.677,0.735,0.812,x,14.941,2.988,1.61,0.31,237
23009+3522,DR3,16.679,0.019,0.521,1.562,5.103,1.479,1.573,1.67,0.781,0.835,0.883,0.698,0.738,0.787,DR3,16.679,0.019,1.536,0.97,303
23357-2729,H97,25.96,1.11,1.625,2.055,2.596,1.91,2.054,2.217,1.071,1.166,1.275,0.839,0.888,0.942,H97,25.96,1.11,2.053,0.67,31
23401+1258,H07,15.61,1.83,0.213,1.802,10.504,1.59,1.706,1.837,0.874,0.937,1.003,0.717,0.769,0.834,H97,15.45,2.46,1.697,0.89,35
23506-5142,DR3,28.353,0.036,1.685,1.758,1.833,1.689,1.786,1.892,0.86,0.911,0.963,0.828,0.875,0.929,DR3,28.353,0.036,1.758,0.96,60
23524+7533,DR3,91.772,0.042,0.144,1.178,6.517,1.083,1.171,1.27,0.786,0.841,0.888,0.297,0.33,0.381,DR3,91.772,0.042,1.092,2.18,314
01001+4443,DR3,6.765,0.025,0.668,5.428,29.969,4.671,5.297,6.061,2.665,3.074,3.462,2.006,2.223,2.611,dr2,6.596,0.052,5.416,7.88,194
08508+3504,H97,17.24,1.83,1.351,2.476,4.799,2.211,2.43,2.673,1.113,1.223,1.347,1.097,1.206,1.326,H97,17.24,1.83,2.415,3.48,279
08582+1945,DR3,194.734,0.104,0.094,0.281,0.92,0.241,0.268,0.295,0.114,0.127,0.138,0.13,0.141,0.157,DR3,194.734,0.104,0.276,2.17,51
09572+4554,DR3,14.002,0.014,1.063,1.993,3.822,1.839,1.944,2.089,0.973,1.026,1.117,0.866,0.918,0.972,DR3,14.002,0.014,1.975,4.5,250
12281+4448,DR3,22.07,0.015,1.697,2.215,2.908,1.982,2.13,2.299,1.031,1.122,1.219,0.952,1.008,1.08,DR3,22.07,0.015,2.212,9.71,157
13540+3249,H07,14.0,1.05,1.628,2.193,2.978,1.965,2.106,2.295,1.007,1.087,1.188,0.958,1.019,1.107,H07,14.0,1.05,2.184,6.68,328
14051+4913,DR3,5.212,0.009,0.853,1.788,3.305,1.731,1.836,1.943,0.868,0.921,0.975,0.863,0.915,0.968,DR3,5.212,0.009,1.78,4.63,85
17590+3003,H07,2.416,1.203,0.566,6.769,97.1,5.6,7.877,12.855,3.527,5.004,8.183,2.075,2.883,4.707,H07,2.416,1.203,5.762,19.65,277
02452-4344,3rd,90.177,0.025,0.296,0.419,0.587,0.428,0.49,0.564,0.228,0.262,0.303,0.2,0.228,0.261,3rd,90.177,0.025,0.418,0.4,131
03513+2621,3rd,9.259,0.018,0.853,2.557,8.371,2.362,2.57,2.787,1.203,1.306,1.417,1.159,1.265,1.37,3rd,9.259,0.018,2.51,0.42,195
08317+1924,3rd,60.06,0.036,0.07,0.567,3.125,0.441,0.508,0.575,0.244,0.283,0.319,0.197,0.225,0.257,3rd,60.06,0.036,0.523,0.97,185
13450+0206,DR3,23.4,0.073,0.483,1.445,4.714,1.145,1.221,1.299,0.622,0.667,0.707,0.523,0.553,0.593,DR3,23.4,0.073,1.422,0.63,58
11499+3754,DR3,11.756,0.2,0.859,1.701,3.477,1.603,1.705,1.806,0.78,0.834,0.882,0.823,0.87,0.925,DR3,11.756,0.2,1.683,0.54,301
04406-0912,H07,50.8,3.74,0.852,1.17,1.629,0.992,1.061,1.131,0.493,0.527,0.561,0.499,0.533,0.569,H07,50.8,3.74,1.161,1.72,190
05069-2135,3rd,50.434,0.02,0.968,1.035,1.106,0.901,0.977,1.048,0.489,0.522,0.552,0.412,0.456,0.496,3rd,50.434,0.02,1.034,0.96,112
08289-1552,H97,29.69,1.63,0.837,1.526,2.559,1.339,1.421,1.517,0.818,0.868,0.924,0.52,0.552,0.593,H97,29.69,1.63,1.527,1.33,260
18581+4711,DR3,18.907,0.015,0.238,1.958,10.809,1.85,1.958,2.075,0.936,0.991,1.052,0.914,0.967,1.023,DR3,18.907,0.015,1.801,1.41,186
